timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788733813.2458389,0,0,135695,143771
1788733813.2458456,1,0,135695,143771
1788733813.2458491,2,0,135695,143771
1788733813.2458518,3,0,135695,143771
1788733813.2458546,4,94,138931,143771
1788733813.2458575,5,11,138931,143771
1788733813.2458603,6,0,4,143771
1788733813.2458637,7,0,4,143771
1788733814.373348,0,61,135695,143771
1788733814.3733516,1,53,135695,143771
1788733814.3733535,2,21,135695,143771
1788733814.3733552,3,31,135695,143771
1788733814.373357,4,100,138931,143771
1788733814.373359,5,100,138931,143771
1788733814.3733604,6,0,4,143771
1788733814.3733618,7,0,4,143771
1788733815.4939466,0,51,135695,143771
1788733815.4939528,1,66,135695,143771
1788733815.4939568,2,7,135695,143771
1788733815.49396,3,16,135695,143771
1788733815.4939632,4,100,138931,143771
1788733815.4939656,5,100,138931,143771
1788733815.4939685,6,0,4,143771
1788733815.4939713,7,0,4,143771
1788733816.619981,0,29,135695,143771
1788733816.6199884,1,29,135695,143771
1788733816.619992,2,15,135695,143771
1788733816.619995,3,30,135695,143771
1788733816.6199985,4,100,138931,143771
1788733816.6200008,5,100,138931,143771
1788733816.6200044,6,0,4,143771
1788733816.6200075,7,0,4,143771
1788733817.7430837,0,40,135695,143771
1788733817.7430897,1,36,135695,143771
1788733817.743093,2,12,135695,143771
1788733817.7430956,3,20,135695,143771
1788733817.743098,4,100,138931,143771
1788733817.7431004,5,100,138931,143771
1788733817.7431028,6,0,4,143771
1788733817.7431064,7,0,4,143771
1788733818.8651419,0,59,135695,143771
1788733818.8651483,1,64,135695,143771
1788733818.865152,2,10,135695,143771
1788733818.8651545,3,33,135695,143771
1788733818.8651578,4,100,138931,143771
1788733818.8651605,5,100,138931,143771
1788733818.8651636,6,0,4,143771
1788733818.865167,7,0,4,143771
1788733819.9906638,0,54,135695,143771
1788733819.99067,1,61,135695,143771
1788733819.9906738,2,24,135695,143771
1788733819.9906766,3,29,135695,143771
1788733819.9906795,4,100,138931,143771
1788733819.9906828,5,100,138931,143771
1788733819.990686,6,0,4,143771
1788733819.9906895,7,0,4,143771
1788733821.1127303,0,31,135695,143771
1788733821.112737,1,62,135695,143771
1788733821.1127403,2,18,135695,143771
1788733821.1127427,3,37,135695,143771
1788733821.1127458,4,100,138931,143771
1788733821.1127481,5,100,138931,143771
1788733821.1127505,6,0,4,143771
1788733821.1127534,7,0,4,143771
1788733822.23502,0,55,135695,143771
1788733822.235026,1,21,135695,143771
1788733822.235029,2,9,135695,143771
1788733822.2350314,3,44,135695,143771
1788733822.2350342,4,100,138931,143771
1788733822.2350368,5,100,138931,143771
1788733822.2350397,6,0,4,143771
1788733822.2350428,7,0,4,143771
1788733823.362598,0,56,135695,143771
1788733823.362605,1,64,135695,143771
1788733823.3626087,2,21,135695,143771
1788733823.362612,3,41,135695,143771
1788733823.3626156,4,100,138931,143771
1788733823.3626196,5,100,138931,143771
1788733823.362623,6,0,4,143771
1788733823.3626266,7,0,4,143771
1788733824.4883657,0,32,135695,143771
1788733824.4883726,1,12,135695,143771
1788733824.4883761,2,21,135695,143771
1788733824.4883783,3,52,135695,143771
1788733824.4883814,4,100,138931,143771
1788733824.4883838,5,100,138931,143771
1788733824.488387,6,0,4,143771
1788733824.4883904,7,0,4,143771
1788733825.611277,0,42,135695,143771
1788733825.6112828,1,16,135695,143771
1788733825.6112869,2,8,135695,143771
1788733825.6112897,3,38,135695,143771
1788733825.6112926,4,100,138931,143771
1788733825.6112967,5,100,138931,143771
1788733825.6112995,6,0,4,143771
1788733825.6113026,7,0,4,143771
1788733826.7310128,0,62,135695,143771
1788733826.7310185,1,50,135695,143771
1788733826.7310216,2,24,135695,143771
1788733826.7310247,3,31,135695,143771
1788733826.7310276,4,100,138931,143771
1788733826.7310302,5,100,138931,143771
1788733826.731033,6,0,4,143771
1788733826.731036,7,0,4,143771
1788733827.8513584,0,43,135695,143771
1788733827.8513641,1,50,135695,143771
1788733827.8513677,2,17,135695,143771
1788733827.8513703,3,26,135695,143771
1788733827.851373,4,100,138931,143771
1788733827.851377,5,100,138931,143771
1788733827.8513794,6,0,4,143771
1788733827.8513823,7,0,4,143771
1788733828.973218,0,55,135695,143771
1788733828.9732258,1,45,135695,143771
1788733828.97323,2,21,135695,143771
1788733828.9732323,3,38,135695,143771
1788733828.9732354,4,100,138931,143771
1788733828.9732378,5,100,138931,143771
1788733828.9732409,6,0,4,143771
1788733828.973244,7,0,4,143771
1788733830.09557,0,25,135695,143771
1788733830.0955753,1,46,135695,143771
1788733830.0955784,2,21,135695,143771
1788733830.0955808,3,31,135695,143771
1788733830.095584,4,100,138931,143771
1788733830.0955873,5,100,138931,143771
1788733830.09559,6,0,4,143771
1788733830.0955932,7,0,4,143771
1788733831.216736,0,6,135695,143771
1788733831.216742,1,27,135695,143771
1788733831.2167451,2,11,135695,143771
1788733831.2167478,3,24,135695,143771
1788733831.2167506,4,100,138931,143771
1788733831.216753,5,100,138931,143771
1788733831.2167554,6,0,4,143771
1788733831.2167585,7,0,4,143771
1788733832.34125,0,51,135695,143771
1788733832.3412566,1,20,135695,143771
1788733832.341261,2,4,135695,143771
1788733832.341263,3,19,135695,143771
1788733832.3412664,4,100,138931,143771
1788733832.341269,5,100,138931,143771
1788733832.3412716,6,0,4,143771
1788733832.3412743,7,0,4,143771
1788733833.4627395,0,51,135695,143771
1788733833.4627466,1,39,135695,143771
1788733833.4627504,2,11,135695,143771
1788733833.462753,3,41,135695,143771
1788733833.4627564,4,100,138931,143771
1788733833.4627602,5,100,138931,143771
1788733833.462763,6,0,4,143771
1788733833.4627664,7,0,4,143771
1788733834.5835717,0,50,135695,143771
1788733834.5835767,1,60,135695,143771
1788733834.5835795,2,27,135695,143771
1788733834.5835822,3,36,135695,143771
1788733834.5835853,4,100,138931,143771
1788733834.583588,5,100,138931,143771
1788733834.5835905,6,0,4,143771
1788733834.5835934,7,0,4,143771
1788733835.7053192,0,57,135695,143771
1788733835.7053227,1,59,135695,143771
1788733835.7053246,2,10,135695,143771
1788733835.705326,3,26,135695,143771
1788733835.7053282,4,100,138931,143771
1788733835.7053297,5,100,138931,143771
1788733835.7053318,6,0,4,143771
1788733835.7053332,7,0,4,143771
1788733836.8311,0,36,135695,143771
1788733836.8311055,1,31,135695,143771
1788733836.831109,2,9,135695,143771
1788733836.831112,3,32,135695,143771
1788733836.831115,4,100,138931,143771
1788733836.8311188,5,100,138931,143771
1788733836.8311214,6,0,4,143771
1788733836.8311245,7,0,4,143771
1788733837.957808,0,62,135695,143771
1788733837.9578125,1,31,135695,143771
1788733837.9578156,2,12,135695,143771
1788733837.9578178,3,11,135695,143771
1788733837.9578204,4,100,138931,143771
1788733837.9578228,5,100,138931,143771
1788733837.9578252,6,0,4,143771
1788733837.957828,7,0,4,143771
1788733839.083182,0,51,135695,143771
1788733839.083187,1,39,135695,143771
1788733839.0831907,2,16,135695,143771
1788733839.0831933,3,32,135695,143771
1788733839.0831962,4,100,138931,143771
1788733839.0831985,5,100,138931,143771
1788733839.083201,6,0,4,143771
1788733839.0832038,7,0,4,143771
1788733840.2078245,0,41,135695,143771
1788733840.2078285,1,46,135695,143771
1788733840.2078316,2,16,135695,143771
1788733840.207834,3,42,135695,143771
1788733840.2078366,4,100,138931,143771
1788733840.207839,5,100,138931,143771
1788733840.2078416,6,0,4,143771
1788733840.2078443,7,0,4,143771
1788733841.3335743,0,58,135695,143771
1788733841.3335793,1,34,135695,143771
1788733841.3335822,2,11,135695,143771
1788733841.3335843,3,44,135695,143771
1788733841.3335867,4,100,138931,143771
1788733841.333589,5,100,138931,143771
1788733841.3335912,6,0,4,143771
1788733841.333594,7,0,4,143771
1788733842.4578722,0,38,135695,143771
1788733842.4578793,1,42,135695,143771
1788733842.4578831,2,12,135695,143771
1788733842.4578867,3,52,135695,143771
1788733842.45789,4,100,138931,143771
1788733842.4578927,5,100,138931,143771
1788733842.4578962,6,0,4,143771
1788733842.4578998,7,0,4,143771
1788733843.579607,0,16,135695,143771
1788733843.579614,1,23,135695,143771
