timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788629153.342953,0,0,135851,143771
1788629153.342971,1,0,135851,143771
1788629153.34298,2,100,135853,143771
1788629153.3429866,3,40,135853,143771
1788629154.434126,0,0,135851,143771
1788629154.4341605,1,8,135851,143771
1788629154.4341803,2,100,135853,143771
1788629154.4341977,3,40,135853,143771
1788629155.5630026,0,15,135851,143771
1788629155.5630276,1,8,135851,143771
1788629155.56304,2,100,135853,143771
1788629155.56305,3,43,135853,143771
1788629156.6707997,0,30,135851,143771
1788629156.6708248,1,8,135851,143771
1788629156.6708364,2,100,135853,143771
1788629156.6708462,3,47,135853,143771
1788629157.7596946,0,0,135851,143771
1788629157.7597191,1,8,135851,143771
1788629157.7597306,2,100,135853,143771
1788629157.7597415,3,50,135853,143771
1788629158.8877144,0,22,135851,143771
1788629158.8877387,1,8,135851,143771
1788629158.8877501,2,100,135853,143771
1788629158.88776,3,51,135853,143771
1788629160.0137975,0,7,135851,143771
1788629160.0138223,1,6,135851,143771
1788629160.0138333,2,100,135853,143771
1788629160.0138433,3,53,135853,143771
1788629161.1428652,0,16,135851,143771
1788629161.142889,1,3,135851,143771
1788629161.1429005,2,100,135853,143771
1788629161.1429105,3,57,135853,143771
1788629162.271036,0,16,135851,143771
1788629162.2710607,1,8,135851,143771
1788629162.2710733,2,100,135853,143771
1788629162.2710834,3,57,135853,143771
1788629163.3798618,0,7,135851,143771
1788629163.379886,1,4,135851,143771
1788629163.3798974,2,100,135853,143771
1788629163.3799078,3,64,135853,143771
1788629164.4709027,0,23,135851,143771
1788629164.4709275,1,12,135851,143771
1788629164.4709396,2,100,135853,143771
1788629164.4709494,3,62,135853,143771
1788629165.6099045,0,30,135851,143771
1788629165.6099303,1,20,135851,143771
1788629165.6099427,2,100,135853,143771
1788629165.6099527,3,66,135853,143771
1788629166.719023,0,23,135851,143771
1788629166.7190483,1,12,135851,143771
1788629166.71906,2,100,135853,143771
1788629166.7190692,3,65,135853,143771
1788629167.8522754,0,35,135851,143771
1788629167.8522918,1,16,135851,143771
1788629167.8522987,2,100,135853,143771
1788629167.8523045,3,67,135853,143771
1788629168.9791927,0,0,135851,143771
1788629168.979217,1,0,135851,143771
1788629168.9792287,2,99,135853,143771
1788629168.9792385,3,68,135853,143771
1788629170.0679986,0,8,135851,143771
1788629170.068023,1,4,135851,143771
1788629170.0680344,2,100,135853,143771
1788629170.068045,3,67,135853,143771
1788629171.1736739,0,12,135851,143771
1788629171.1736996,1,4,135851,143771
1788629171.173711,2,100,135853,143771
1788629171.1737208,3,65,135853,143771
1788629172.2833464,0,8,135851,143771
1788629172.28337,1,2,135851,143771
1788629172.283381,2,100,135853,143771
1788629172.2833908,3,66,135853,143771
1788629173.4105422,0,12,135851,143771
1788629173.4105678,1,8,135851,143771
1788629173.4105794,2,100,135853,143771
1788629173.4105897,3,66,135853,143771
1788629174.5383604,0,15,135851,143771
1788629174.5383863,1,4,135851,143771
1788629174.5383987,2,100,135853,143771
1788629174.5384083,3,68,135853,143771
1788629175.664801,0,16,135851,143771
1788629175.6648257,1,8,135851,143771
1788629175.6648374,2,100,135853,143771
1788629175.6648471,3,41,135853,143771
1788629176.7700179,0,8,135851,143771
1788629176.770041,1,4,135851,143771
1788629176.7700522,2,100,135853,143771
1788629176.7700617,3,41,135853,143771
1788629177.8760278,0,28,135851,143771
1788629177.8760526,1,16,135851,143771
1788629177.876065,2,100,135853,143771
1788629177.8760743,3,40,135853,143771
1788629178.982454,0,0,135851,143771
1788629178.9824793,1,0,135851,143771
1788629178.9824922,2,100,135853,143771
1788629178.9825017,3,42,135853,143771
1788629180.110503,0,23,135851,143771
1788629180.110527,1,12,135851,143771
1788629180.1105387,2,100,135853,143771
1788629180.110549,3,41,135853,143771
1788629181.2369976,0,8,135851,143771
1788629181.2370217,1,5,135851,143771
1788629181.237033,2,100,135853,143771
1788629181.237043,3,43,135853,143771
1788629182.3595908,0,16,135851,143771
1788629182.359615,1,6,135851,143771
1788629182.3596268,2,100,135853,143771
1788629182.3596368,3,43,135853,143771
1788629183.4861765,0,0,135851,143771
1788629183.4862025,1,4,135851,143771
1788629183.486214,2,100,135853,143771
1788629183.4862237,3,44,135853,143771
1788629184.6157503,0,14,135851,143771
1788629184.6157756,1,9,135851,143771
1788629184.615788,2,100,135853,143771
1788629184.6157975,3,46,135853,143771
1788629185.742148,0,15,135851,143771
1788629185.7421718,1,8,135851,143771
1788629185.742184,2,100,135853,143771
1788629185.7421937,3,46,135853,143771
1788629186.870129,0,0,135851,143771
1788629186.8701532,1,0,135851,143771
1788629186.870165,2,100,135853,143771
1788629186.870175,3,48,135853,143771
1788629187.9996903,0,23,135851,143771
1788629187.9997144,1,13,135851,143771
1788629187.9997265,2,100,135853,143771
1788629187.999736,3,47,135853,143771
1788629189.0881631,0,8,135851,143771
1788629189.0881894,1,4,135851,143771
1788629189.0882013,2,82,135853,143771
1788629189.0882106,3,100,135853,143771
1788629190.2163746,0,23,135851,143771
1788629190.2163992,1,12,135851,143771
1788629190.216411,2,82,135853,143771
1788629190.2164207,3,100,135853,143771
1788629191.3222725,0,15,135851,143771
1788629191.3222973,1,8,135851,143771
1788629191.3223083,2,80,135853,143771
1788629191.322318,3,100,135853,143771
1788629192.4120312,0,0,135851,143771
1788629192.412056,1,0,135851,143771
1788629192.4120677,2,80,135853,143771
1788629192.4120781,3,100,135853,143771
1788629193.5392187,0,8,135851,143771
1788629193.5392427,1,4,135851,143771
1788629193.5392542,2,75,135853,143771
1788629193.5392644,3,100,135853,143771
1788629194.6678689,0,11,135851,143771
1788629194.6678953,1,8,135851,143771
1788629194.6679068,2,73,135853,143771
1788629194.6679168,3,100,135853,143771
1788629195.7942612,0,7,135851,143771
1788629195.7942855,1,0,135851,143771
1788629195.794297,2,71,135853,143771
1788629195.794307,3,100,135853,143771
1788629196.9177873,0,13,135851,143771
1788629196.9178114,1,8,135851,143771
1788629196.9178224,2,69,135853,143771
1788629196.917832,3,100,135853,143771
1788629198.0456097,0,31,135851,143771
1788629198.0456347,1,20,135851,143771
1788629198.0456467,2,66,135853,143771
1788629198.0456562,3,100,135853,143771
1788629199.1721053,0,8,135851,143771
1788629199.1721296,1,4,135851,143771
1788629199.172141,2,67,135853,143771
1788629199.1721506,3,100,135853,143771
1788629200.2978485,0,19,135851,143771
1788629200.2978735,1,8,135851,143771
1788629200.297885,2,67,135853,143771
1788629200.2978945,3,100,135853,143771
1788629201.4062266,0,8,135851,143771
1788629201.4062524,1,4,135851,143771
1788629201.4062645,2,68,135853,143771
1788629201.4062743,3,100,135853,143771
1788629202.5320413,0,0,135851,143771
1788629202.5320654,1,0,135851,143771
1788629202.5320773,2,67,135853,143771
1788629202.5320876,3,100,135853,143771
1788629203.6384318,0,15,135851,143771
1788629203.638457,1,4,135851,143771
1788629203.638469,2,100,135853,143771
1788629203.638478,3,68,135853,143771
1788629204.7669175,0,7,135851,143771
1788629204.7669473,1,4,135851,143771
1788629204.7669635,2,100,135853,143771
1788629204.7669787,3,69,135853,143771
1788629205.8549786,0,22,135851,143771
1788629205.8550029,1,15,135851,143771
1788629205.8550153,2,100,135853,143771
1788629205.855025,3,69,135853,143771
1788629206.9824653,0,14,135851,143771
1788629206.9824905,1,8,135851,143771
1788629206.9825025,2,100,135853,143771
1788629206.9825125,3,69,135853,143771
1788629208.1092994,0,22,135851,143771
1788629208.109324,1,14,135851,143771
1788629208.1093357,2,100,135853,143771
1788629208.1093452,3,66,135853,143771
1788629209.2342477,0,15,135851,143771
1788629209.2342746,1,4,135851,143771
1788629209.234287,2,100,135853,143771
1788629209.2342973,3,67,135853,143771
1788629210.361574,0,15,135851,143771
1788629210.3615983,1,8,135851,143771
1788629210.36161,2,100,135853,143771
1788629210.3616195,3,65,135853,143771
1788629211.486518,0,15,135851,143771
1788629211.4865422,1,8,135851,143771
1788629211.4865544,2,100,135853,143771
1788629211.4865644,3,67,135853,143771
1788629212.5947595,0,15,135851,143771
1788629212.594784,1,8,135851,143771
1788629212.5947955,2,100,135853,143771
1788629212.5948055,3,67,135853,143771
1788629213.7225962,0,15,135851,143771
1788629213.7226207,1,5,135851,143771
1788629213.7226326,2,100,135853,143771
1788629213.7226427,3,67,135853,143771
1788629214.850015,0,15,135851,143771
1788629214.8500392,1,4,135851,143771
1788629214.8500519,2,100,135853,143771
1788629214.8500621,3,68,135853,143771
1788629215.9588866,0,14,135851,143771
1788629215.9589117,1,9,135851,143771
1788629215.9589229,2,100,135853,143771
1788629215.9589329,3,66,135853,143771
1788629217.0860517,0,0,135851,143771
1788629217.086075,1,0,135851,143771
1788629217.0860872,2,100,135853,143771
1788629217.0860975,3,63,135853,143771
1788629218.1752577,0,0,135851,143771
1788629218.175284,1,0,135851,143771
1788629218.1752958,2,100,135853,143771
1788629218.1753054,3,58,135853,143771
1788629219.2634459,0,0,135851,143771
1788629219.2634692,1,0,135851,143771
1788629219.2634811,2,100,135853,143771
1788629219.2634914,3,58,135853,143771
1788629220.3696227,0,0,135851,143771
1788629220.3696473,1,0,135851,143771
1788629220.3696597,2,100,135853,143771
1788629220.36967,3,56,135853,143771
1788629221.4930484,0,0,135851,143771
1788629221.4930723,1,0,135851,143771
1788629221.4930842,2,100,135853,143771
1788629221.493094,3,54,135853,143771
1788629222.6158605,0,0,135851,143771
1788629222.6158843,1,0,135851,143771
1788629222.6158957,2,100,135853,143771
1788629222.6159055,3,49,135853,143771
1788629223.7026708,0,0,135851,143771
1788629223.7026944,1,0,135851,143771
1788629223.702706,2,100,135853,143771
1788629223.7027164,3,45,135853,143771
1788629224.806858,0,0,135851,143771
1788629224.8068814,1,0,135851,143771
1788629224.8068936,2,100,135853,143771
1788629224.8069038,3,42,135853,143771
1788629225.8927598,0,0,135851,143771
1788629225.8927836,1,0,135851,143771
1788629225.8927956,2,59,135853,143771
1788629225.8928058,3,0,135853,143771
1788629226.9942894,0,0,135851,143771
1788629226.9943132,1,0,135851,143771
1788629226.994325,2,0,135853,143771
1788629226.9943342,3,0,135853,143771
1788629228.1011484,0,0,135851,143771
1788629228.1011753,1,0,135851,143771
1788629228.101187,2,0,135853,143771
1788629228.101196,3,0,135853,143771
