timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788644947.4984572,0,0,133667,143771
1788644947.4984822,1,70,135679,143771
1788644947.4984946,2,100,135679,143771
1788644947.4985044,3,0,4,143771
1788644948.6283286,0,13,133667,143771
1788644948.628353,1,97,135679,143771
1788644948.6283653,2,100,135679,143771
1788644948.6283753,3,0,4,143771
1788644949.778959,0,17,133667,143771
1788644949.7789829,1,95,135679,143771
1788644949.7789955,2,100,135679,143771
1788644949.779006,3,0,4,143771
1788644950.9104807,0,59,133667,143771
1788644950.910506,1,69,135679,143771
1788644950.9105175,2,100,135679,143771
1788644950.9105275,3,0,4,143771
1788644952.0038128,0,59,133667,143771
1788644952.0038383,1,69,135679,143771
1788644952.0038502,2,100,135679,143771
1788644952.0038602,3,0,4,143771
1788644953.133118,0,0,133667,143771
1788644953.133142,1,100,135679,143771
1788644953.1331537,2,100,135679,143771
1788644953.1331637,3,0,4,143771
1788644954.260006,0,100,133667,143771
1788644954.2600307,1,92,135679,143771
1788644954.2600439,2,100,135679,143771
1788644954.260054,3,0,4,143771
1788644955.391674,0,100,133667,143771
1788644955.3916996,1,77,135679,143771
1788644955.3917122,2,100,135679,143771
1788644955.3917224,3,0,4,143771
1788644956.5001311,0,100,133667,143771
1788644956.5001566,1,100,135679,143771
1788644956.500169,2,81,135679,143771
1788644956.5001798,3,0,4,143771
1788644957.6089876,0,100,133667,143771
1788644957.6090124,1,100,135679,143771
1788644957.6090252,2,62,135679,143771
1788644957.609036,3,0,4,143771
1788644958.7363107,0,100,133667,143771
1788644958.736337,1,100,135679,143771
1788644958.7363493,2,92,135679,143771
1788644958.7363608,3,0,4,143771
1788644959.8644502,0,100,133667,143771
1788644959.8644757,1,100,135679,143771
1788644959.8644881,2,100,135679,143771
1788644959.8644981,3,0,4,143771
1788644960.9945145,0,32,133667,143771
1788644960.99454,1,100,135679,143771
1788644960.9945526,2,65,135679,143771
1788644960.994564,3,0,4,143771
1788644962.1246722,0,84,133667,143771
1788644962.1246989,1,100,135679,143771
1788644962.1247113,2,63,135679,143771
1788644962.1247215,3,0,4,143771
1788644963.2536507,0,100,133667,143771
1788644963.2536757,1,100,135679,143771
1788644963.2536883,2,100,135679,143771
1788644963.2536988,3,0,4,143771
1788644964.385114,0,100,133667,143771
1788644964.3851385,1,100,135679,143771
1788644964.385152,2,87,135679,143771
1788644964.3851628,3,0,4,143771
1788644965.5129614,0,41,133667,143771
1788644965.512989,1,100,135679,143771
1788644965.5130014,2,96,135679,143771
1788644965.5130124,3,0,4,143771
1788644966.6399174,0,24,133667,143771
1788644966.6399424,1,100,135679,143771
1788644966.6399553,2,100,135679,143771
1788644966.6399653,3,0,4,143771
1788644967.7692528,0,100,133667,143771
1788644967.769278,1,100,135679,143771
1788644967.7692902,2,100,135679,143771
1788644967.769301,3,0,4,143771
1788644968.8967936,0,75,133667,143771
1788644968.8968205,1,100,135679,143771
1788644968.8968332,2,100,135679,143771
1788644968.896843,3,0,4,143771
1788644970.0243137,0,100,133667,143771
1788644970.0243387,1,100,135679,143771
1788644970.0243506,2,100,135679,143771
1788644970.0243611,3,0,4,143771
1788644971.1525707,0,95,133667,143771
1788644971.152596,1,100,135679,143771
1788644971.1526082,2,100,135679,143771
1788644971.1526191,3,0,4,143771
1788644972.2431617,0,100,133667,143771
1788644972.243187,1,100,135679,143771
1788644972.2431989,2,100,135679,143771
1788644972.2432086,3,0,4,143771
1788644973.3714929,0,19,133667,143771
1788644973.3715196,1,100,135679,143771
1788644973.3715317,2,100,135679,143771
1788644973.3715417,3,0,4,143771
1788644974.500203,0,100,133667,143771
1788644974.500228,1,100,135679,143771
