timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788642790.0188515,0,0,135677,143771
1788642790.0188677,1,0,135677,143771
1788642790.0188754,2,91,135037,143771
1788642790.0188816,3,0,4,143771
1788642791.132872,0,41,135677,143771
1788642791.1328971,1,73,135677,143771
1788642791.1329103,2,100,135037,143771
1788642791.132922,3,0,4,143771
1788642792.2629526,0,23,135677,143771
1788642792.2629778,1,79,135677,143771
1788642792.2629905,2,100,135037,143771
1788642792.2630017,3,0,4,143771
1788642793.3945024,0,34,135677,143771
1788642793.3945277,1,83,135677,143771
1788642793.3945403,2,100,135037,143771
1788642793.394552,3,0,4,143771
1788642794.5264425,0,20,135677,143771
1788642794.526467,1,60,135677,143771
1788642794.52648,2,100,135037,143771
1788642794.52649,3,0,4,143771
1788642795.6582994,0,33,135677,143771
1788642795.6583242,1,89,135677,143771
1788642795.6583364,2,100,135037,143771
1788642795.658347,3,0,4,143771
1788642796.7711234,0,32,135677,143771
1788642796.7711487,1,75,135677,143771
1788642796.771162,2,100,135037,143771
1788642796.7711725,3,0,4,143771
1788642797.8799875,0,33,135677,143771
1788642797.8800125,1,44,135677,143771
1788642797.8800256,2,100,135037,143771
1788642797.8800366,3,0,4,143771
1788642799.0077903,0,13,135677,143771
1788642799.0078158,1,85,135677,143771
1788642799.0078287,2,100,135037,143771
1788642799.0078394,3,0,4,143771
1788642800.1366837,0,32,135677,143771
1788642800.1367085,1,74,135677,143771
1788642800.1367216,2,100,135037,143771
1788642800.1367328,3,0,4,143771
1788642801.264456,0,21,135677,143771
1788642801.2644808,1,76,135677,143771
1788642801.2644935,2,100,135037,143771
1788642801.2645044,3,0,4,143771
1788642802.391977,0,40,135677,143771
1788642802.3920014,1,43,135677,143771
1788642802.392014,2,100,135037,143771
1788642802.3920238,3,0,4,143771
1788642803.520139,0,55,135677,143771
1788642803.5201635,1,56,135677,143771
1788642803.5201771,2,100,135037,143771
1788642803.520188,3,0,4,143771
1788642804.6489153,0,30,135677,143771
1788642804.648941,1,37,135677,143771
1788642804.6489542,2,100,135037,143771
1788642804.6489656,3,0,4,143771
1788642805.757104,0,38,135677,143771
1788642805.7571282,1,43,135677,143771
1788642805.7571416,2,100,135037,143771
1788642805.7571526,3,0,4,143771
1788642806.864279,0,45,135677,143771
1788642806.8643043,1,33,135677,143771
1788642806.8643181,2,100,135037,143771
1788642806.8643289,3,0,4,143771
