timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788640089.7073355,0,0,135907,143771
1788640089.7073548,1,0,135907,143771
1788640089.707364,2,0,133269,143771
1788640089.7073722,3,0,4,143771
1788640090.843103,0,45,135907,143771
1788640090.8431275,1,64,135907,143771
1788640090.8431401,2,100,133269,143771
1788640090.8431504,3,0,4,143771
1788640091.972455,0,95,135907,143771
1788640091.9724867,1,94,135907,143771
1788640091.9725063,2,100,133269,143771
1788640091.9725232,3,0,4,143771
1788640093.1023967,0,100,135907,143771
1788640093.102421,1,95,135907,143771
1788640093.1024327,2,100,133269,143771
1788640093.1024425,3,0,4,143771
1788640094.2315712,0,91,135907,143771
1788640094.2315955,1,95,135907,143771
1788640094.2316074,2,100,133269,143771
1788640094.231617,3,0,4,143771
1788640095.3602276,0,94,135907,143771
1788640095.3602524,1,94,135907,143771
1788640095.3602643,2,100,133269,143771
1788640095.360275,3,0,4,143771
1788640096.495094,0,88,135907,143771
1788640096.4951193,1,96,135907,143771
1788640096.4951315,2,100,133269,143771
1788640096.4951417,3,0,4,143771
1788640097.626297,0,95,135907,143771
1788640097.6263216,1,100,135907,143771
1788640097.6263337,2,100,133269,143771
1788640097.6263433,3,0,4,143771
1788640098.7581985,0,83,135907,143771
1788640098.7582214,1,83,135907,143771
1788640098.7582319,2,100,133269,143771
1788640098.7582407,3,0,4,143771
1788640099.8900685,0,100,135907,143771
1788640099.8900943,1,95,135907,143771
1788640099.8901064,2,100,133269,143771
1788640099.8901162,3,0,4,143771
1788640101.0201738,0,95,135907,143771
1788640101.020201,1,100,135907,143771
1788640101.0202124,2,100,133269,143771
1788640101.020222,3,0,4,143771
1788640102.1473293,0,100,135907,143771
1788640102.1473548,1,89,135907,143771
1788640102.1473668,2,100,133269,143771
1788640102.1473763,3,0,4,143771
1788640103.277571,0,88,135907,143771
1788640103.2775958,1,89,135907,143771
1788640103.277608,2,100,133269,143771
1788640103.2776182,3,0,4,143771
1788640104.4041767,0,68,135907,143771
1788640104.4042032,1,69,135907,143771
1788640104.404215,2,100,133269,143771
1788640104.404225,3,0,4,143771
1788640105.5405295,0,95,135907,143771
1788640105.5405543,1,91,135907,143771
1788640105.5405657,2,100,133269,143771
1788640105.5405755,3,0,4,143771
1788640106.668409,0,100,135907,143771
1788640106.6684337,1,100,135907,143771
1788640106.6684456,2,100,133269,143771
1788640106.6684558,3,0,4,143771
1788640107.798387,0,32,135907,143771
1788640107.7984135,1,26,135907,143771
1788640107.7984264,2,100,133269,143771
1788640107.7984366,3,0,4,143771
1788640108.9308224,0,74,135907,143771
1788640108.9308467,1,89,135907,143771
1788640108.9308581,2,100,133269,143771
1788640108.9308686,3,0,4,143771
1788640110.0242963,0,96,135907,143771
1788640110.0243294,1,91,135907,143771
1788640110.024348,2,100,133269,143771
1788640110.024363,3,0,4,143771
1788640111.1519485,0,54,135907,143771
1788640111.151975,1,13,135907,143771
1788640111.1519866,2,100,133269,143771
1788640111.1519969,3,0,4,143771
1788640112.2796283,0,42,135907,143771
1788640112.2796535,1,14,135907,143771
1788640112.2796652,2,100,133269,143771
1788640112.2796755,3,0,4,143771
1788640113.40849,0,36,135907,143771
1788640113.4085143,1,15,135907,143771
1788640113.4085264,2,100,133269,143771
1788640113.4085367,3,0,4,143771
1788640114.536785,0,51,135907,143771
1788640114.5368102,1,15,135907,143771
1788640114.536822,2,100,133269,143771
1788640114.5368323,3,0,4,143771
1788640115.6627493,0,37,135907,143771
1788640115.662777,1,20,135907,143771
1788640115.6627886,2,100,133269,143771
1788640115.662799,3,0,4,143771
1788640116.7689886,0,42,135907,143771
1788640116.7690144,1,12,135907,143771
1788640116.7690263,2,100,133269,143771
1788640116.7690358,3,0,4,143771
1788640117.8948023,0,38,135907,143771
1788640117.8948278,1,26,135907,143771
1788640117.8948388,2,77,133269,143771
1788640117.8948488,3,0,4,143771
1788640119.0239143,0,46,135907,143771
1788640119.0239396,1,21,135907,143771
1788640119.023951,2,100,133269,143771
1788640119.0239606,3,0,4,143771
1788640120.1505537,0,2,135907,143771
1788640120.150581,1,0,135907,143771
1788640120.1505926,2,100,133269,143771
1788640120.1506023,3,0,4,143771
1788640121.2754195,0,0,135907,143771
1788640121.2754438,1,0,135907,143771
1788640121.2754555,2,86,133269,143771
1788640121.275465,3,0,4,143771
1788640122.3808153,0,0,135907,143771
1788640122.380839,1,0,135907,143771
1788640122.3808503,2,100,133269,143771
1788640122.3808606,3,0,4,143771
1788640123.46718,0,0,135907,143771
1788640123.4672034,1,0,135907,143771
1788640123.4672153,2,100,133269,143771
1788640123.467225,3,0,4,143771
1788640124.57323,0,0,135907,143771
1788640124.573254,1,0,135907,143771
1788640124.573266,2,100,133269,143771
1788640124.573275,3,0,4,143771
1788640125.6590495,0,0,135907,143771
1788640125.6590753,1,0,135907,143771
1788640125.6590874,2,100,133269,143771
1788640125.6590972,3,0,4,143771
1788640126.7857525,0,0,135907,143771
1788640126.7857769,1,0,135907,143771
1788640126.7857893,2,100,133269,143771
1788640126.785799,3,0,4,143771
1788640127.8886583,0,0,135907,143771
1788640127.8886828,1,0,135907,143771
1788640127.8886938,2,100,133269,143771
1788640127.8887038,3,0,4,143771
1788640129.0130122,0,0,135907,143771
1788640129.0130365,1,0,135907,143771
1788640129.0130482,2,89,133269,143771
1788640129.0130582,3,0,4,143771
1788640130.099414,0,0,135907,143771
1788640130.0994384,1,0,135907,143771
1788640130.0994503,2,100,133269,143771
1788640130.09946,3,0,4,143771
1788640131.1867945,0,0,135907,143771
1788640131.1868198,1,0,135907,143771
1788640131.1868315,2,92,133269,143771
1788640131.1868412,3,0,4,143771
1788640132.2912326,0,0,135907,143771
1788640132.2912571,1,0,135907,143771
1788640132.2912693,2,100,133269,143771
1788640132.291279,3,0,4,143771
1788640133.3978677,0,0,135907,143771
1788640133.3978918,1,0,135907,143771
1788640133.3979034,2,100,133269,143771
1788640133.397914,3,0,4,143771
1788640134.4825764,0,0,135907,143771
1788640134.482601,1,0,135907,143771
1788640134.4826133,2,95,133269,143771
1788640134.4826233,3,0,4,143771
1788640135.605714,0,0,135907,143771
1788640135.6057382,1,0,135907,143771
1788640135.6057506,2,100,133269,143771
1788640135.6057608,3,0,4,143771
1788640136.709285,0,0,135907,143771
1788640136.709309,1,0,135907,143771
1788640136.709321,2,31,133269,143771
1788640136.7093303,3,0,4,143771
1788640137.8341212,0,0,135907,143771
1788640137.834147,1,0,135907,143771
1788640137.8341587,2,41,133269,143771
1788640137.8341691,3,0,4,143771
1788640138.9380963,0,0,135907,143771
1788640138.9381204,1,0,135907,143771
1788640138.9381325,2,96,133269,143771
1788640138.9381425,3,0,4,143771
1788640140.0619178,0,0,135907,143771
1788640140.0619414,1,0,135907,143771
1788640140.0619533,2,100,133269,143771
1788640140.0619628,3,0,4,143771
1788640141.189259,0,0,135907,143771
1788640141.1892827,1,0,135907,143771
1788640141.1892946,2,100,133269,143771
1788640141.1893046,3,0,4,143771
1788640142.313269,0,0,135907,143771
1788640142.313293,1,0,135907,143771
1788640142.3133047,2,100,133269,143771
1788640142.3133154,3,0,4,143771
1788640143.4371834,0,0,135907,143771
1788640143.437226,1,0,135907,143771
1788640143.4372385,2,100,133269,143771
1788640143.4372487,3,0,4,143771
1788640144.5226247,0,0,135907,143771
1788640144.5226486,1,0,135907,143771
1788640144.52266,2,59,133269,143771
1788640144.5226698,3,0,4,143771
1788640145.6490335,0,0,135907,143771
1788640145.64906,1,0,135907,143771
1788640145.649072,2,100,133269,143771
1788640145.6490817,3,0,4,143771
1788640146.7731252,0,0,135907,143771
1788640146.7731493,1,0,135907,143771
1788640146.773161,2,100,133269,143771
1788640146.7731707,3,0,4,143771
1788640147.8587074,0,0,135907,143771
1788640147.8587317,1,0,135907,143771
1788640147.8587441,2,73,133269,143771
1788640147.8587534,3,0,4,143771
1788640148.985473,0,0,135907,143771
1788640148.9854968,1,0,135907,143771
1788640148.985509,2,100,133269,143771
1788640148.9855192,3,0,4,143771
1788640150.071703,0,0,135907,143771
1788640150.071727,1,0,135907,143771
1788640150.0717387,2,100,133269,143771
1788640150.0717485,3,0,4,143771
1788640151.1588588,0,0,135907,143771
1788640151.1588833,1,0,135907,143771
1788640151.1588953,2,43,133269,143771
1788640151.1589053,3,0,4,143771
1788640152.2659352,0,0,135907,143771
1788640152.2659593,1,0,135907,143771
1788640152.2659714,2,100,133269,143771
1788640152.2659812,3,0,4,143771
1788640153.373371,0,0,135907,143771
1788640153.3733957,1,0,135907,143771
1788640153.3734078,2,97,133269,143771
1788640153.3734183,3,0,4,143771
1788640154.49628,0,0,135907,143771
1788640154.4963055,1,0,135907,143771
1788640154.4963179,2,42,133269,143771
1788640154.4963276,3,0,4,143771
1788640155.5826936,0,0,135907,143771
1788640155.5827177,1,0,135907,143771
1788640155.58273,2,100,133269,143771
1788640155.5827394,3,0,4,143771
1788640156.7101948,0,0,135907,143771
1788640156.7102196,1,0,135907,143771
1788640156.7102308,2,80,133269,143771
1788640156.7102408,3,0,4,143771
1788640157.8180928,0,0,135907,143771
1788640157.8181176,1,0,135907,143771
1788640157.8181293,2,36,133269,143771
1788640157.8181393,3,0,4,143771
1788640158.9250946,0,0,135907,143771
1788640158.925119,1,0,135907,143771
1788640158.9251316,2,61,133269,143771
1788640158.9251418,3,0,4,143771
1788640160.0505645,0,0,135907,143771
1788640160.0505893,1,0,135907,143771
1788640160.0506015,2,100,133269,143771
1788640160.0506117,3,0,4,143771
1788640161.1394076,0,0,135907,143771
1788640161.1394324,1,0,135907,143771
1788640161.1394446,2,10,133269,143771
1788640161.1394553,3,0,4,143771
1788640162.2262042,0,0,135907,143771
1788640162.2262285,1,0,135907,143771
1788640162.2262404,2,60,133269,143771
1788640162.2262502,3,0,4,143771
1788640163.311044,0,0,135907,143771
1788640163.3110685,1,0,135907,143771
1788640163.3110805,2,50,133269,143771
1788640163.3110912,3,0,4,143771
1788640164.3988543,0,0,135907,143771
1788640164.3988805,1,0,135907,143771
1788640164.398893,2,67,133269,143771
1788640164.3989024,3,0,4,143771
1788640165.5249333,0,0,135907,143771
1788640165.5249584,1,0,135907,143771
1788640165.5249705,2,82,133269,143771
1788640165.5249803,3,0,4,143771
1788640166.6301067,0,0,135907,143771
1788640166.6301315,1,0,135907,143771
1788640166.6301436,2,100,133269,143771
1788640166.630154,3,0,4,143771
1788640167.7349546,0,0,135907,143771
1788640167.7349792,1,0,135907,143771
1788640167.7349906,2,100,133269,143771
1788640167.7350006,3,0,4,143771
1788640168.8224325,0,0,135907,143771
1788640168.822457,1,0,135907,143771
1788640168.8224688,2,100,133269,143771
1788640168.8224792,3,0,4,143771
1788640169.9255207,0,0,135907,143771
1788640169.9255445,1,0,135907,143771
1788640169.9255557,2,32,133269,143771
1788640169.925566,3,0,4,143771
1788640171.047101,0,0,135907,143771
1788640171.0471246,1,0,135907,143771
1788640171.0471375,2,100,133269,143771
1788640171.0471475,3,0,4,143771
1788640172.1736095,0,0,135907,143771
1788640172.1736343,1,0,135907,143771
1788640172.173646,2,100,133269,143771
1788640172.1736562,3,0,4,143771
1788640173.2978532,0,0,135907,143771
1788640173.2978776,1,0,135907,143771
1788640173.297889,2,95,133269,143771
1788640173.2978988,3,0,4,143771
1788640174.4226995,0,0,135907,143771
1788640174.4227238,1,0,135907,143771
1788640174.422736,2,38,133269,143771
1788640174.422746,3,0,4,143771
1788640175.5263994,0,0,135907,143771
1788640175.5264254,1,0,135907,143771
1788640175.5264373,2,100,133269,143771
1788640175.526447,3,0,4,143771
1788640176.6302567,0,0,135907,143771
1788640176.630281,1,0,135907,143771
1788640176.6302927,2,57,133269,143771
1788640176.630303,3,0,4,143771
1788640177.7340577,0,0,135907,143771
1788640177.7340827,1,0,135907,143771
1788640177.734095,2,100,133269,143771
1788640177.7341049,3,0,4,143771
1788640178.837646,0,0,135907,143771
1788640178.83767,1,0,135907,143771
