timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788639034.5463066,0,0,135905,143771
1788639034.5463223,1,0,135905,143771
1788639034.5463295,2,45,133267,143771
1788639034.5463355,3,0,4,143771
1788639035.6741617,0,45,135905,143771
1788639035.6741877,1,0,135905,143771
1788639035.6741993,2,45,133267,143771
1788639035.6742089,3,0,4,143771
1788639036.8038528,0,0,135905,143771
1788639036.8038778,1,0,135905,143771
1788639036.8038905,2,95,133267,143771
1788639036.8039,3,0,4,143771
1788639037.9113085,0,0,135905,143771
1788639037.9113328,1,0,135905,143771
1788639037.9113445,2,52,133267,143771
1788639037.9113545,3,0,4,143771
1788639039.0398238,0,0,135905,143771
1788639039.0398488,1,45,135905,143771
1788639039.0398612,2,71,133267,143771
1788639039.0398703,3,0,4,143771
1788639040.1672935,0,0,135905,143771
1788639040.1673183,1,25,135905,143771
1788639040.16733,2,89,133267,143771
1788639040.1673386,3,0,4,143771
1788639041.2739546,0,52,135905,143771
1788639041.2739801,1,80,135905,143771
1788639041.2739925,2,100,133267,143771
1788639041.2740028,3,0,4,143771
1788639042.4036837,0,93,135905,143771
1788639042.4037094,1,42,135905,143771
1788639042.4037218,2,100,133267,143771
1788639042.4037323,3,0,4,143771
1788639043.510868,0,56,135905,143771
1788639043.5108933,1,26,135905,143771
1788639043.5109053,2,63,133267,143771
1788639043.510915,3,0,4,143771
1788639044.638645,0,95,135905,143771
1788639044.6386693,1,96,135905,143771
1788639044.6386826,2,100,133267,143771
1788639044.638694,3,0,4,143771
1788639045.7679875,0,34,135905,143771
1788639045.7680132,1,56,135905,143771
1788639045.7680266,2,100,133267,143771
1788639045.7680376,3,0,4,143771
1788639046.9040225,0,76,135905,143771
1788639046.9040482,1,7,135905,143771
1788639046.9040604,2,59,133267,143771
1788639046.904071,3,0,4,143771
1788639048.0143175,0,0,135905,143771
1788639048.0143425,1,24,135905,143771
1788639048.0143561,2,92,133267,143771
1788639048.0143666,3,0,4,143771
1788639049.1424983,0,44,135905,143771
1788639049.1425238,1,28,135905,143771
1788639049.1425366,2,67,133267,143771
1788639049.1425476,3,0,4,143771
1788639050.2712004,0,49,135905,143771
1788639050.2712262,1,94,135905,143771
1788639050.2712388,2,100,133267,143771
1788639050.2712502,3,0,4,143771
1788639051.3599386,0,54,135905,143771
1788639051.359964,1,45,135905,143771
1788639051.3599768,2,100,133267,143771
1788639051.3599882,3,0,4,143771
1788639052.4467468,0,20,135905,143771
1788639052.4467626,1,44,135905,143771
1788639052.4467702,2,100,133267,143771
1788639052.4467766,3,0,4,143771
1788639053.5758579,0,0,135905,143771
1788639053.575882,1,0,135905,143771
1788639053.575894,2,52,133267,143771
1788639053.5759044,3,0,4,143771
1788639054.6829665,0,65,135905,143771
1788639054.682991,1,44,135905,143771
1788639054.6830037,2,100,133267,143771
1788639054.6830144,3,0,4,143771
1788639055.7716198,0,0,135905,143771
1788639055.7716455,1,0,135905,143771
1788639055.771658,2,50,133267,143771
1788639055.7716677,3,0,4,143771
1788639056.8613114,0,0,135905,143771
1788639056.861336,1,0,135905,143771
1788639056.8613486,2,100,133267,143771
1788639056.8613584,3,0,4,143771
1788639057.9873471,0,36,135905,143771
1788639057.9873724,1,44,135905,143771
1788639057.9873848,2,78,133267,143771
1788639057.9873953,3,0,4,143771
1788639059.1164443,0,87,135905,143771
1788639059.1164699,1,66,135905,143771
1788639059.116483,2,98,133267,143771
1788639059.1164942,3,0,4,143771
1788639060.2433002,0,47,135905,143771
1788639060.243328,1,0,135905,143771
1788639060.2433417,2,100,133267,143771
1788639060.2433527,3,0,4,143771
1788639061.373351,0,45,135905,143771
1788639061.3733764,1,34,135905,143771
1788639061.3733902,2,100,133267,143771
1788639061.3734014,3,0,4,143771
1788639062.4784775,0,30,135905,143771
1788639062.4785025,1,0,135905,143771
1788639062.4785147,2,58,133267,143771
1788639062.4785256,3,0,4,143771
1788639063.6071298,0,97,135905,143771
1788639063.6071558,1,93,135905,143771
1788639063.60717,2,100,133267,143771
1788639063.6071818,3,0,4,143771
1788639064.7147658,0,53,135905,143771
1788639064.714793,1,93,135905,143771
1788639064.7148063,2,100,133267,143771
1788639064.714817,3,0,4,143771
1788639065.8381994,0,89,135905,143771
1788639065.8382246,1,39,135905,143771
1788639065.838238,2,100,133267,143771
1788639065.838249,3,0,4,143771
1788639066.9978592,0,30,135905,143771
1788639066.997885,1,51,135905,143771
1788639066.9978967,2,74,133267,143771
1788639066.9979079,3,0,4,143771
1788639068.1280873,0,46,135905,143771
1788639068.128112,1,65,135905,143771
1788639068.1281254,2,83,133267,143771
1788639068.1281369,3,0,4,143771
1788639069.2568734,0,0,135905,143771
1788639069.2568989,1,0,135905,143771
1788639069.2569118,2,78,133267,143771
1788639069.2569232,3,0,4,143771
1788639070.382219,0,95,135905,143771
1788639070.382245,1,96,135905,143771
1788639070.3822582,2,77,133267,143771
1788639070.3822696,3,0,4,143771
1788639071.51018,0,75,135905,143771
1788639071.510205,1,93,135905,143771
1788639071.5102177,2,100,133267,143771
1788639071.5102296,3,0,4,143771
1788639072.6399422,0,0,135905,143771
1788639072.639967,1,0,135905,143771
1788639072.6399798,2,78,133267,143771
1788639072.639991,3,0,4,143771
1788639073.7736385,0,96,135905,143771
1788639073.7736638,1,96,135905,143771
1788639073.773677,2,100,133267,143771
1788639073.7736878,3,0,4,143771
1788639074.8800914,0,25,135905,143771
1788639074.880117,1,49,135905,143771
1788639074.88013,2,100,133267,143771
1788639074.880141,3,0,4,143771
1788639076.008092,0,64,135905,143771
1788639076.0081186,1,46,135905,143771
1788639076.0081325,2,100,133267,143771
1788639076.008144,3,0,4,143771
1788639077.1360633,0,45,135905,143771
1788639077.1360886,1,19,135905,143771
1788639077.1361005,2,100,133267,143771
1788639077.1361113,3,0,4,143771
1788639078.2630558,0,55,135905,143771
1788639078.2630813,1,0,135905,143771
1788639078.2630935,2,100,133267,143771
1788639078.2631032,3,0,4,143771
1788639079.3535783,0,0,135905,143771
1788639079.3536024,1,0,135905,143771
1788639079.353615,2,100,133267,143771
1788639079.353625,3,0,4,143771
1788639080.4394026,0,6,135905,143771
1788639080.4394271,1,0,135905,143771
1788639080.439439,2,100,133267,143771
1788639080.4394486,3,0,4,143771
1788639081.565895,0,0,135905,143771
1788639081.5659196,1,0,135905,143771
1788639081.5659325,2,52,133267,143771
1788639081.5659428,3,0,4,143771
1788639082.6913793,0,94,135905,143771
1788639082.6914058,1,92,135905,143771
1788639082.6914186,2,100,133267,143771
1788639082.691429,3,0,4,143771
1788639083.7791355,0,54,135905,143771
1788639083.77916,1,30,135905,143771
1788639083.7791722,2,100,133267,143771
1788639083.7791824,3,0,4,143771
1788639084.8704135,0,96,135905,143771
1788639084.8704383,1,96,135905,143771
1788639084.8704503,2,100,133267,143771
1788639084.8704607,3,0,4,143771
1788639085.9936619,0,0,135905,143771
1788639085.993686,1,0,135905,143771
1788639085.993698,2,100,133267,143771
1788639085.9937074,3,0,4,143771
1788639087.1180458,0,56,135905,143771
1788639087.1180704,1,84,135905,143771
1788639087.1180825,2,58,133267,143771
1788639087.1180918,3,0,4,143771
1788639088.241938,0,11,135905,143771
1788639088.2419631,1,22,135905,143771
1788639088.2419758,2,100,133267,143771
1788639088.2419856,3,0,4,143771
1788639089.366248,0,0,135905,143771
1788639089.3662715,1,0,135905,143771
1788639089.366284,2,99,133267,143771
1788639089.3662937,3,0,4,143771
1788639090.451425,0,0,135905,143771
1788639090.4514508,1,0,135905,143771
1788639090.4514637,2,100,133267,143771
1788639090.451474,3,0,4,143771
1788639091.5776098,0,58,135905,143771
1788639091.577635,1,43,135905,143771
1788639091.5776463,2,75,133267,143771
1788639091.577656,3,0,4,143771
1788639092.703824,0,0,135905,143771
1788639092.7038481,1,5,135905,143771
1788639092.7038608,2,100,133267,143771
1788639092.703871,3,0,4,143771
1788639093.7912576,0,21,135905,143771
1788639093.7912824,1,0,135905,143771
1788639093.7912939,2,75,133267,143771
1788639093.7913034,3,0,4,143771
1788639094.917516,0,0,135905,143771
1788639094.9175398,1,0,135905,143771
1788639094.9175522,2,83,133267,143771
1788639094.917562,3,0,4,143771
1788639096.0415835,0,0,135905,143771
1788639096.041609,1,29,135905,143771
1788639096.0416222,2,100,133267,143771
1788639096.0416336,3,0,4,143771
1788639097.1667635,0,59,135905,143771
1788639097.1667888,1,43,135905,143771
1788639097.1668012,2,73,133267,143771
1788639097.1668117,3,0,4,143771
1788639098.2708967,0,0,135905,143771
1788639098.2709217,1,0,135905,143771
1788639098.2709346,2,62,133267,143771
1788639098.270945,3,0,4,143771
1788639099.3933487,0,93,135905,143771
1788639099.3933754,1,93,135905,143771
1788639099.3933883,2,100,133267,143771
1788639099.3933997,3,0,4,143771
1788639100.4997833,0,47,135905,143771
1788639100.4998083,1,71,135905,143771
1788639100.4998205,2,97,133267,143771
1788639100.4998307,3,0,4,143771
1788639101.6275566,0,0,135905,143771
1788639101.6275811,1,0,135905,143771
1788639101.6275935,2,100,133267,143771
1788639101.6276042,3,0,4,143771
1788639102.755375,0,22,135905,143771
1788639102.7553997,1,44,135905,143771
1788639102.7554133,2,100,133267,143771
1788639102.7554243,3,0,4,143771
1788639103.84353,0,7,135905,143771
1788639103.8435543,1,44,135905,143771
1788639103.8435674,2,100,133267,143771
1788639103.8435779,3,0,4,143771
1788639104.9313152,0,48,135905,143771
1788639104.9313402,1,33,135905,143771
1788639104.931353,2,93,133267,143771
1788639104.931363,3,0,4,143771
1788639106.057902,0,16,135905,143771
1788639106.0579271,1,0,135905,143771
1788639106.0579398,2,53,133267,143771
