timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788639210.450953,0,0,135905,143771
1788639210.4509676,1,0,135905,143771
1788639210.4509747,2,97,133267,143771
1788639210.4509807,3,0,4,143771
1788639211.5617929,0,30,135905,143771
1788639211.5618181,1,23,135905,143771
1788639211.5618298,2,79,133267,143771
1788639211.5618393,3,0,4,143771
1788639212.688021,0,0,135905,143771
1788639212.688045,1,26,135905,143771
1788639212.688057,2,92,133267,143771
1788639212.688066,3,0,4,143771
1788639213.8149788,0,0,135905,143771
1788639213.8150027,1,0,135905,143771
1788639213.8150144,2,88,133267,143771
1788639213.815024,3,0,4,143771
1788639214.9447584,0,30,135905,143771
1788639214.9447844,1,26,135905,143771
1788639214.9447958,2,87,133267,143771
1788639214.9448054,3,0,4,143771
1788639216.0740845,0,0,135905,143771
1788639216.0741088,1,0,135905,143771
1788639216.0741208,2,99,133267,143771
1788639216.074131,3,0,4,143771
1788639217.182369,0,45,135905,143771
1788639217.1823928,1,26,135905,143771
1788639217.1824052,2,100,133267,143771
1788639217.1824145,3,0,4,143771
1788639218.2736409,0,48,135905,143771
1788639218.2736654,1,78,135905,143771
1788639218.2736778,2,100,133267,143771
1788639218.2736874,3,0,4,143771
1788639219.3989992,0,36,135905,143771
1788639219.399024,1,26,135905,143771
1788639219.3990357,2,100,133267,143771
1788639219.399046,3,0,4,143771
1788639220.5308266,0,35,135905,143771
1788639220.5308523,1,25,135905,143771
1788639220.530865,2,100,133267,143771
1788639220.5308743,3,0,4,143771
1788639221.6782527,0,56,135905,143771
1788639221.6782784,1,19,135905,143771
1788639221.67829,2,98,133267,143771
1788639221.678299,3,0,4,143771
1788639222.8029804,0,50,135905,143771
1788639222.8030057,1,26,135905,143771
1788639222.803017,2,68,133267,143771
1788639222.8030262,3,0,4,143771
1788639223.932086,0,0,135905,143771
1788639223.9321105,1,10,135905,143771
1788639223.9321225,2,84,133267,143771
1788639223.9321318,3,0,4,143771
1788639225.060347,0,14,135905,143771
1788639225.0603733,1,26,135905,143771
