timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788640439.4077318,0,0,134219,143771
1788640439.407779,1,0,135905,143771
1788640439.4077945,2,0,135905,143771
1788640439.407805,3,0,4,143771
1788640440.5357609,0,7,134219,143771
1788640440.5358012,1,43,135905,143771
1788640440.5358136,2,100,135905,143771
1788640440.5358238,3,0,4,143771
1788640441.6639209,0,0,134219,143771
1788640441.6639452,1,44,135905,143771
1788640441.6639569,2,100,135905,143771
1788640441.6639667,3,0,4,143771
1788640442.7916343,0,0,134219,143771
1788640442.7916594,1,45,135905,143771
1788640442.7916715,2,100,135905,143771
1788640442.7916815,3,0,4,143771
1788640443.9198184,0,10,134219,143771
1788640443.9198434,1,45,135905,143771
1788640443.9198558,2,100,135905,143771
1788640443.919866,3,0,4,143771
1788640445.047626,0,0,134219,143771
1788640445.0476506,1,49,135905,143771
1788640445.047664,2,100,135905,143771
1788640445.047673,3,0,4,143771
1788640446.1743793,0,10,134219,143771
1788640446.1744041,1,52,135905,143771
1788640446.1744173,2,100,135905,143771
1788640446.1744275,3,0,4,143771
1788640447.2841134,0,31,134219,143771
1788640447.2841384,1,56,135905,143771
1788640447.2841506,2,100,135907,143771
1788640447.2841606,3,0,4,143771
1788640448.4115806,0,10,134219,143771
1788640448.4116058,1,56,135907,143771
1788640448.4116178,2,100,135907,143771
1788640448.4116275,3,0,4,143771
1788640449.5395803,0,11,134219,143771
1788640449.539605,1,53,135907,143771
1788640449.539617,2,100,135907,143771
1788640449.539627,3,0,4,143771
1788640450.667763,0,0,134219,143771
1788640450.6677878,1,58,135907,143771
1788640450.6678004,2,100,135907,143771
1788640450.66781,3,0,4,143771
1788640451.7954946,0,9,134219,143771
1788640451.7955186,1,63,135907,143771
1788640451.7955303,2,100,135907,143771
1788640451.7955406,3,0,4,143771
1788640452.9036877,0,0,134219,143771
1788640452.9037125,1,62,135907,143771
1788640452.9037242,2,100,135907,143771
1788640452.9037344,3,0,4,143771
1788640454.0123682,0,10,134219,143771
1788640454.0123937,1,65,135907,143771
1788640454.0124052,2,100,135907,143771
1788640454.0124152,3,0,4,143771
1788640455.138996,0,12,134219,143771
1788640455.1390204,1,66,135907,143771
1788640455.139033,2,100,135907,143771
1788640455.1390433,3,0,4,143771
1788640456.2677388,0,15,134219,143771
1788640456.2677627,1,72,135907,143771
1788640456.2677746,2,100,135907,143771
1788640456.2677846,3,0,4,143771
1788640457.3952246,0,1,134219,143771
1788640457.3952513,1,73,135907,143771
1788640457.3952634,2,100,135907,143771
1788640457.3952734,3,0,4,143771
1788640458.5032504,0,13,134219,143771
1788640458.5032759,1,74,135907,143771
1788640458.5032878,2,100,135907,143771
1788640458.503299,3,0,4,143771
1788640459.631774,0,13,134219,143771
1788640459.6317987,1,78,135907,143771
1788640459.6318111,2,100,135907,143771
1788640459.6318212,3,0,4,143771
1788640460.7277792,0,8,134219,143771
1788640460.7278054,1,79,135907,143771
1788640460.7278178,2,100,135907,143771
1788640460.7278283,3,0,4,143771
1788640461.8364937,0,0,134219,143771
1788640461.8365188,1,81,135907,143771
1788640461.8365312,2,100,135907,143771
1788640461.836541,3,0,4,143771
1788640462.9644175,0,10,134219,143771
1788640462.964442,1,83,135907,143771
1788640462.964454,2,100,135907,143771
1788640462.9644642,3,0,4,143771
1788640464.0714967,0,15,134219,143771
1788640464.0715213,1,86,135907,143771
1788640464.0715332,2,100,135907,143771
1788640464.0715442,3,0,4,143771
1788640465.200605,0,0,134219,143771
1788640465.2006307,1,91,135907,143771
1788640465.200644,2,100,135907,143771
1788640465.2006538,3,0,4,143771
1788640466.3083107,0,0,134219,143771
1788640466.3083353,1,98,135907,143771
1788640466.3083482,2,100,135907,143771
1788640466.3083587,3,0,4,143771
1788640467.4373045,0,0,134219,143771
1788640467.437329,1,99,135907,143771
1788640467.437342,2,100,135907,143771
1788640467.437353,3,0,4,143771
1788640468.5635834,0,21,134219,143771
1788640468.5636084,1,100,135907,143771
1788640468.5636213,2,100,135907,143771
1788640468.563632,3,0,4,143771
1788640469.6924973,0,0,134219,143771
1788640469.692524,1,100,135907,143771
1788640469.6925368,2,100,135907,143771
1788640469.6925478,3,0,4,143771
1788640470.8199458,0,8,134219,143771
1788640470.8199713,1,100,135907,143771
1788640470.8199842,2,100,135907,143771
1788640470.819994,3,0,4,143771
1788640471.9502718,0,17,134219,143771
1788640471.9502978,1,100,135907,143771
1788640471.950311,2,100,135907,143771
1788640471.9503212,3,0,4,143771
1788640473.0760522,0,21,134219,143771
1788640473.0760784,1,100,135907,143771
1788640473.076091,2,100,135907,143771
1788640473.0761013,3,0,4,143771
1788640474.2037382,0,10,134219,143771
1788640474.2037637,1,100,135907,143771
1788640474.2037766,2,100,135907,143771
1788640474.203786,3,0,4,143771
1788640475.2954822,0,0,134219,143771
1788640475.2955086,1,100,135907,143771
1788640475.2955236,2,100,135907,143771
1788640475.2955346,3,0,4,143771
1788640476.3875566,0,21,134219,143771
1788640476.3875828,1,100,135907,143771
