timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788710668.6840765,0,0,134171,143771
1788710668.6840837,1,100,135849,143771
1788710668.6840885,2,30,135849,143771
1788710668.6840918,3,0,4,143771
1788710669.7597034,0,11,134171,143771
1788710669.7597113,1,100,135849,143771
1788710669.7597156,2,48,135849,143771
1788710669.7597191,3,0,4,143771
1788710670.8362453,0,27,134171,143771
1788710670.836252,1,99,135849,143771
1788710670.8362565,2,60,135849,143771
1788710670.8362598,3,0,4,143771
1788710671.9115555,0,21,134171,143771
1788710671.9115608,1,98,135849,143771
1788710671.911564,2,83,135849,143771
1788710671.9115672,3,0,4,143771
1788710672.9879167,0,20,134171,143771
1788710672.9879227,1,98,135849,143771
1788710672.9879262,2,87,135849,143771
1788710672.9879298,3,0,4,143771
1788710674.062981,0,5,134171,143771
1788710674.062985,1,100,135849,143771
1788710674.062988,2,45,135849,143771
1788710674.0629916,3,0,4,143771
1788710675.1375287,0,16,134171,143771
1788710675.1375337,1,100,135849,143771
1788710675.1375372,2,66,135849,143771
1788710675.13754,3,0,4,143771
1788710676.213789,0,16,134171,143771
1788710676.213793,1,99,135849,143771
1788710676.2137964,2,63,135849,143771
1788710676.2137997,3,0,4,143771
1788710677.2880213,0,8,134171,143771
1788710677.2880282,1,100,135849,143771
1788710677.2880325,2,45,135849,143771
1788710677.2880356,3,0,4,143771
1788710678.3649657,0,5,134171,143771
1788710678.3649728,1,99,135849,143771
1788710678.3649766,2,44,135849,143771
1788710678.36498,3,0,4,143771
1788710679.4400125,0,14,134171,143771
1788710679.4400206,1,88,135849,143771
1788710679.4400241,2,47,135849,143771
1788710679.4400277,3,0,4,143771
1788710680.5164042,0,6,134171,143771
1788710680.51641,1,100,135849,143771
1788710680.5164142,2,73,135849,143771
1788710680.5164177,3,0,4,143771
1788710681.5919347,0,9,134171,143771
1788710681.5919397,1,97,135849,143771
1788710681.591944,2,78,135849,143771
1788710681.591947,3,0,4,143771
1788710682.6669734,0,7,134171,143771
1788710682.6669786,1,100,135849,143771
1788710682.6669812,2,37,135849,143771
1788710682.666983,3,0,4,143771
1788710683.7411065,0,11,134171,143771
1788710683.7411141,1,100,135849,143771
1788710683.7411182,2,44,135849,143771
1788710683.7411218,3,0,4,143771
1788710684.8154662,0,7,134171,143771
1788710684.8154733,1,100,135849,143771
1788710684.8154776,2,93,135849,143771
1788710684.8154812,3,0,4,143771
1788710685.8918066,0,27,134171,143771
1788710685.8918157,1,100,135849,143771
1788710685.8918192,2,68,135849,143771
1788710685.8918228,3,0,4,143771
1788710686.96762,0,11,134171,143771
1788710686.967666,1,100,135849,143771
1788710686.96767,2,36,135849,143771
1788710686.9676735,3,0,4,143771
1788710688.0438855,0,22,134171,143771
1788710688.0438912,1,100,135849,143771
1788710688.043895,2,98,135849,143771
1788710688.0438983,3,0,4,143771
1788710689.1181526,0,14,134171,143771
1788710689.1181588,1,98,135849,143771
1788710689.1181624,2,79,135849,143771
1788710689.1181655,3,0,4,143771
1788710690.1942542,0,20,134171,143771
1788710690.1942594,1,98,135849,143771
1788710690.1942632,2,58,135849,143771
1788710690.1942663,3,0,4,143771
1788710691.2714157,0,11,134171,143771
1788710691.2714236,1,99,135849,143771
1788710691.2714276,2,85,135849,143771
1788710691.271431,3,0,4,143771
1788710692.3467882,0,14,134171,143771
1788710692.3467946,1,100,135849,143771
1788710692.3467982,2,41,135849,143771
1788710692.3468018,3,0,4,143771
1788710693.4225569,0,10,134171,143771
1788710693.4225655,1,100,135849,143771
1788710693.4225688,2,60,135849,143771
1788710693.4225714,3,0,4,143771
1788710694.496553,0,20,134171,143771
1788710694.4965587,1,100,135849,143771
1788710694.4965618,2,94,135849,143771
1788710694.4965644,3,0,4,143771
1788710695.571755,0,16,134171,143771
1788710695.5717595,1,100,135849,143771
1788710695.5717628,2,57,135849,143771
1788710695.5717654,3,0,4,143771
1788710696.6466608,0,16,134171,143771
1788710696.6466653,1,100,135849,143771
1788710696.6466684,2,67,135849,143771
1788710696.6466713,3,0,4,143771
1788710697.7123747,0,12,134171,143771
1788710697.7123842,1,100,135849,143771
1788710697.7123885,2,71,135849,143771
1788710697.7123919,3,0,4,143771
1788710698.78869,0,10,134171,143771
1788710698.7886975,1,100,135849,143771
1788710698.7887018,2,58,135849,143771
1788710698.7887053,3,0,4,143771
1788710699.86416,0,20,134171,143771
1788710699.8641663,1,100,135849,143771
1788710699.86417,2,61,135849,143771
1788710699.864174,3,0,4,143771
1788710700.9236062,0,0,134171,143771
1788710700.923614,1,100,135849,143771
1788710700.923618,2,33,135849,143771
1788710700.9236214,3,0,4,143771
